lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,logTau,tau,alpha_prior,tau_prior,alpha_prior_preds03,alpha_prior_preds07,alpha_prior_preds09,alpha_post_preds03,alpha_post_preds07,alpha_post_preds09,tau_prior_preds03,tau_prior_preds07,tau_prior_preds09,tau_post_preds03,tau_post_preds07,tau_post_preds09
# Adaptation terminated
# Step size = 0.131451
# Diagonal elements of inverse mass matrix:
# 3.61301, 0.826118
-3.90947,0.997872,0.131451,4,31,0,4.47056,0.642245,0.224321,1.25147,1.28218,0.10782,0,1,1,0,1,0,0,1,1,0,1,1
-3.92817,0.997017,0.131451,5,31,0,4.87123,0.111571,0.593504,1.81032,0.255446,-0.0718665,1,1,1,1,0,1,1,0,1,0,1,1
-3.96809,0.999916,0.131451,2,3,0,3.97603,0.106414,0.594983,1.813,0.514855,0.387516,0,0,1,0,1,1,0,0,1,1,1,0
-3.71842,0.999999,0.131451,3,7,0,4.02538,0.148317,0.565004,1.75945,0.783063,0.0442176,1,1,1,1,0,1,1,1,1,1,1,1
-4.3413,0.99863,0.131451,4,15,0,4.8826,0.170664,0.237152,1.26763,0.392942,0.430732,1,1,1,0,1,1,0,0,1,1,1,0
-5.00078,0.999865,0.131451,4,19,0,6.17905,0.449102,0.068372,1.07076,0.663808,1.49422,0,1,1,1,1,0,0,1,1,0,1,1
-4.6342,0.999913,0.131451,3,15,0,5.46286,0.407399,0.101376,1.10669,0.528947,0.621725,1,0,1,1,1,0,1,1,0,0,1,0
-3.29066,0.997219,0.131451,4,23,0,5.79827,0.198603,0.821965,2.27496,1.33986,1.02089,1,0,1,0,0,1,0,1,1,0,0,0
-5.20089,0.99296,0.131451,3,15,0,5.34172,0.0352751,0.449042,1.56681,1.10072,0.353169,1,0,1,0,1,1,0,1,1,0,0,1
-5.90388,0.999807,0.131451,4,15,0,6.08316,0.014525,0.558524,1.74809,0.0673052,0.742412,1,0,0,1,1,0,1,1,0,1,1,0
-4.62629,0.998795,0.131451,5,31,0,7.48091,0.605183,0.103264,1.10878,0.595489,0.324561,0,0,1,1,0,1,0,0,1,0,1,1
-3.87685,0.998556,0.131451,4,27,0,4.89417,0.669122,0.241483,1.27314,0.417332,1.43299,1,1,1,1,1,1,0,0,0,0,0,1
-3.66813,0.999786,0.131451,4,15,0,4.00806,0.516102,0.265364,1.30391,-0.171305,0.690249,1,0,1,0,0,1,0,0,0,0,1,0
-4.60456,0.992328,0.131451,4,15,0,5.36454,0.94224,0.53049,1.69976,-0.187165,-0.250942,1,1,0,1,0,1,1,1,0,0,1,1
-4.1626,0.999935,0.131451,4,15,0,5.41591,0.839717,1.95329,7.05185,0.112281,0.218485,0,1,1,1,0,1,0,1,0,1,1,1
-5.03782,0.98482,0.131451,5,31,0,5.7727,0.140225,0.136147,1.14585,1.00031,0.485826,0,1,1,0,0,1,0,0,1,0,0,1
-3.74052,0.998661,0.131451,4,23,0,5.26852,0.232318,0.355448,1.42682,0.422142,-0.695311,0,1,1,0,1,1,0,0,1,0,1,1
-4.15822,0.996963,0.131451,5,31,0,5.08969,0.930189,1.07111,2.91863,0.572327,0.918835,1,1,0,1,0,1,0,1,0,0,0,1
-4.49528,0.997941,0.131451,4,15,0,5.71978,0.951521,0.994576,2.70358,0.172203,0.802469,0,0,1,0,1,1,0,1,1,0,0,1
-3.97541,0.999702,0.131451,3,9,0,4.9687,0.915236,1.00391,2.72894,0.626358,1.13926,1,0,1,0,1,1,1,0,1,0,0,1
-3.38593,0.9986,0.131451,5,31,0,4.94719,0.381607,0.387556,1.47338,0.88124,1.84465,0,1,1,1,1,1,1,1,1,0,0,1
-3.70407,0.999951,0.131451,4,15,0,3.77367,0.439369,0.259123,1.29579,1.23049,0.849061,0,1,0,0,1,0,1,1,1,0,1,1
-3.47582,0.999823,0.131451,4,15,0,3.81502,0.581772,0.337371,1.40126,1.51645,-0.104404,0,0,1,0,1,1,0,0,1,0,0,0
-3.41577,0.999774,0.131451,4,15,0,3.57622,0.661482,0.39806,1.48893,-0.104027,-0.196136,0,1,1,0,1,1,0,1,0,0,1,1
-3.68936,0.998595,0.131451,4,15,0,4.58713,0.856686,1.44116,4.22559,1.26664,0.660357,1,1,1,0,0,1,1,0,1,1,0,0
-3.31569,0.998791,0.131451,2,7,0,3.99452,0.802288,1.2442,3.47014,-0.110303,0.28954,1,1,1,1,1,0,0,1,1,1,1,1
-3.07032,0.996545,0.131451,4,15,0,4.32781,0.280443,0.783579,2.18929,0.665417,-0.128045,0,0,1,1,0,0,1,0,1,0,0,1
-4.29953,0.996059,0.131451,4,23,0,4.30463,0.0802997,0.530317,1.69947,0.0833586,1.15802,0,0,1,1,0,1,0,0,0,1,0,0
-3.26377,0.999815,0.131451,4,31,0,5.02355,0.740659,0.596105,1.81504,1.43599,1.1751,1,1,1,0,1,1,0,0,1,1,1,1
-3.31639,0.999401,0.131451,4,19,0,3.55705,0.241451,1.47608,4.37574,0.256882,0.504406,1,1,1,1,1,1,0,1,1,1,1,0
-3.34572,0.999225,0.131451,5,31,0,3.76474,0.199439,0.713539,2.0412,-0.321966,-0.160283,0,1,0,0,0,1,1,0,0,1,0,0
-4.06578,0.996792,0.131451,4,19,0,5.36352,0.764738,0.246293,1.27927,0.0659462,0.106954,0,1,0,0,0,0,1,0,0,0,1,1
-3.17432,0.999364,0.131451,5,31,0,4.48921,0.262484,1.3536,3.87134,-0.1058,1.68487,0,1,0,0,1,1,1,0,0,0,0,1
-3.30072,0.998347,0.131451,4,15,0,3.64473,0.231293,1.41597,4.12048,1.4545,1.18416,0,0,1,1,0,1,0,1,1,1,0,0
-2.87394,0.999981,0.131451,4,15,0,3.4159,0.507093,1.27222,3.56877,0.272333,0.440942,1,0,1,1,1,1,1,0,0,0,0,1
-2.89456,0.995903,0.131451,3,11,0,3.54229,0.515515,0.719014,2.05241,0.776248,0.00284084,0,1,1,0,0,1,0,1,1,1,1,1
-3.22628,0.998555,0.131451,3,15,0,3.50616,0.678887,0.52362,1.68813,0.206509,0.970522,0,1,0,0,0,1,0,0,0,1,1,1
-3.25171,0.999976,0.131451,3,7,0,3.26478,0.674437,0.50097,1.65032,-0.0446116,-0.274305,1,0,0,1,1,1,1,1,1,1,1,1
-3.10848,0.999892,0.131451,5,31,0,3.42689,0.500656,1.59304,4.91867,1.02947,0.569029,0,1,1,1,1,1,0,1,1,0,0,1
-3.91498,0.994063,0.131451,4,15,0,4.36757,0.788675,1.92954,6.88634,0.56106,-0.0970516,0,1,1,0,0,1,1,1,1,0,1,1
-3.49828,0.994813,0.131451,4,23,0,4.58072,0.425583,0.327223,1.38711,0.589679,0.838321,0,0,1,1,0,1,0,1,0,0,0,1
-5.33184,0.996785,0.131451,4,23,0,5.6202,0.622945,0.0516686,1.05303,0.35197,0.0183173,1,1,1,1,1,1,1,0,1,0,1,1
-7.39894,0.99584,0.131451,4,15,0,7.65786,0.858401,0.01262,1.0127,0.76669,0.377608,0,0,1,0,1,1,0,1,1,1,1,1
-5.84353,0.997352,0.131451,4,31,0,7.39557,0.386894,0.0306445,1.03112,0.524663,0.000836341,0,1,1,1,0,0,1,0,1,1,1,0
-6.50244,0.996867,0.131451,4,15,0,6.81387,0.876388,0.0347231,1.03533,-0.350055,0.80484,1,1,0,0,1,0,0,0,0,1,1,1
-4.84701,0.999557,0.131451,5,31,0,7.2521,0.860797,0.166547,1.18122,0.726343,0.362585,0,1,0,1,1,1,0,1,1,1,0,1
-4.67317,0.999916,0.131451,4,15,0,5.14308,0.843986,0.180782,1.19815,0.964666,0.132936,0,0,1,1,1,1,1,1,1,0,0,1
-4.74863,0.999684,0.131451,3,7,0,4.85788,0.856549,0.179613,1.19675,-0.204809,1.04501,0,0,0,1,1,1,1,1,0,0,0,1
-3.75116,0.998639,0.131451,4,15,0,5.55878,0.862101,0.589168,1.80249,0.878555,0.243361,0,1,1,0,1,0,1,1,1,0,1,1
