# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:59:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpgrDZRT/standata-75124c3124f4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061359-2-5736fb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061359-2-70ed32.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post,tau_post,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.237721
# Diagonal elements of inverse mass matrix:
# 0.256109, 2.06682
-1599.56,0.999929,0.237721,3,7,0,1600.12,0.515106,0.0219076,1.02215,0.696049,0.994338,1764,2488,0.626003,0.735391,1590,1818,-0.0284764,0.0138081,0.999629,0.494681,0.505319,-1724.53
-1599.95,0.996602,0.237721,3,11,0,1600.11,0.713319,0.00825447,1.00829,0.530073,0.993888,1351,2485,0.671134,0.732685,1641,1840,-0.00481816,0.00138128,0.999997,0.497946,0.502054,-1729.18
-1600.14,0.997392,0.237721,3,7,0,1600.37,0.720736,0.00639052,1.00641,0.554753,0.665766,1389,1617,0.672769,0.732317,1702,1842,-0.00438364,0.00122419,0.999998,0.498409,0.501591,-1729.85
-1600.53,0.997728,0.237721,3,7,0,1600.56,0.731189,0.00415005,1.00416,0.580383,0.997666,1457,2494,0.675066,0.731875,1630,1814,-0.00381783,0.00102627,0.999999,0.498966,0.501034,-1730.66
-1599.7,0.998667,0.237721,4,15,0,1600.73,0.627482,0.00556121,1.00558,0.687423,0.999778,1714,2499,0.651918,0.732154,1649,1826,-0.0120834,0.0045013,0.999968,0.498627,0.501373,-1730.18
-1600.12,0.996208,0.237721,3,15,0,1600.41,0.501355,0.00455831,1.00457,0.625961,0.998011,1569,2496,0.622778,0.731956,1575,1836,-0.0309965,0.0154563,0.999523,0.498896,0.501104,-1730.57
-1600.16,0.999834,0.237721,2,3,0,1600.16,0.49691,0.00446165,1.00447,0.558012,0.992011,1427,2477,0.621733,0.731937,1543,1815,-0.0318318,0.0160143,0.999483,0.498921,0.501079,-1730.6
-1599.98,0.99004,0.237721,3,15,0,1602.33,0.56002,0.00386652,1.00387,0.614887,0.998646,1530,2497,0.636457,0.73182,1608,1823,-0.0209863,0.00923357,0.999848,0.499054,0.500946,-1730.8
-1600.12,0.999717,0.237721,3,7,0,1600.21,0.587223,0.00306644,1.00307,0.721075,0.993416,1773,2480,0.642728,0.731662,1604,1832,-0.0170477,0.0070369,0.999916,0.499247,0.500753,-1731.08
-1601.27,0.988878,0.237721,3,15,0,1602.1,0.759206,0.00247299,1.00248,0.727025,0.996786,1824,2494,0.681181,0.731545,1672,1819,-0.00255237,0.000614596,1,0.499383,0.500617,-1731.27
-1601.35,0.999683,0.237721,4,15,0,1601.73,0.784693,0.00367549,1.00368,0.605353,0.999636,1533,2499,0.686691,0.731782,1755,1838,-0.0016863,0.000363072,1,0.499083,0.500917,-1730.82
-1599.56,0.997722,0.237721,3,15,0,1602.6,0.51329,0.0217575,1.022,0.512791,0.993726,1256,2489,0.625577,0.735361,1564,1822,-0.0288035,0.0140189,0.999617,0.49472,0.50528,-1724.58
-1600.29,0.989717,0.237721,3,7,0,1600.48,0.416471,0.0207233,1.02094,0.658187,0.864928,1663,2147,0.602639,0.735156,1518,1827,-0.0482892,0.0281781,0.998079,0.495079,0.504921,-1725.04
-1599.31,0.990716,0.237721,3,11,0,1602.15,0.616849,0.0157249,1.01585,0.682009,0.793124,1743,1998,0.649502,0.734163,1610,1820,-0.0132941,0.00509364,0.999958,0.496121,0.503879,-1726.58
-1600.19,0.98247,0.237721,3,15,0,1601.87,0.428175,0.0221058,1.02235,0.606152,0.998811,1526,2491,0.605438,0.73543,1526,1865,-0.0457809,0.0261786,0.998389,0.494736,0.505264,-1724.56
-1600.6,0.983428,0.237721,3,15,0,1602.98,0.773058,0.0153883,1.01551,0.505818,0.854366,1265,2110,0.684182,0.734097,1655,1832,-0.00205054,0.000465354,1,0.496161,0.503839,-1726.57
-1599.93,0.992966,0.237721,4,15,0,1601.63,0.451541,0.0135975,1.01369,0.602575,0.9997,1475,2499,0.611006,0.733742,1527,1828,-0.0408582,0.022409,0.998883,0.496743,0.503257,-1727.45
-1600.98,0.971121,0.237721,4,15,0,1602.6,0.764021,0.00389396,1.0039,0.604164,0.999877,1516,2499,0.682226,0.731825,1662,1846,-0.00236918,0.000559077,1,0.499029,0.500971,-1730.75
-1599.41,0.999208,0.237721,4,15,0,1601.89,0.533425,0.0172878,1.01744,0.704956,0.998179,1750,2494,0.630282,0.734473,1576,1849,-0.0252789,0.0117945,0.999739,0.495789,0.504211,-1726.11
