# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:32:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c554685cc18.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061232-2-572e3e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061232-2-70e475.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,tau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.274457
# Diagonal elements of inverse mass matrix:
# 1.58248, 0.327487
-177.588,0.912906,0.274457,2,3,0,179.167,0.226611,1.0948,0.00450676,5.00817,0,1,1,1,-0.0497688,0.0384907,0.487491,0.382437,0.617563,-173.153
-177.852,1,0.274457,1,1,0,178.14,0.20684,1.07895,0.618974,8.64381,0,1,0,1,-0.0589778,0.0467788,0.495068,0.384494,0.615506,-173.338
-173.569,1,0.274457,2,3,0,177.855,0.474319,0.810721,0.979161,6.55101,1,1,1,1,-0.00319258,0.00167828,0.53072,0.394681,0.605319,-169.206
-173.241,0.9996,0.274457,3,7,0,173.69,0.890245,0.560542,0.103632,5.96581,1,1,1,0,-1.87709e-08,2.0602e-09,0.890376,0.377754,0.622246,-167.59
-174.103,0.982306,0.274457,4,15,0,176.502,0.961428,0.554658,0.97858,2.69454,1,0,1,0,-4.71084e-12,1.81705e-13,0.96143,0.369756,0.630244,-167.474
-174.841,0.996935,0.274457,2,5,0,175.323,0.983178,0.616529,0.757985,11.9833,1,1,0,0,-6.30406e-15,1.06046e-16,0.983178,0.352936,0.647064,-167.505
-174.835,0.998527,0.274457,3,7,0,174.889,0.982712,0.642633,0.613603,13.7232,1,1,1,1,-7.84042e-15,1.35543e-16,0.982712,0.347165,0.652835,-167.566
-176.232,0.94308,0.274457,3,7,0,176.389,0.980284,0.914686,0.0991565,14.2483,0,1,1,0,-2.23865e-14,4.41382e-16,0.980284,0.289739,0.710261,-169.426
-174.769,0.994899,0.274457,2,3,0,176.477,0.974973,0.74572,0.536017,4.24098,1,1,0,1,-1.5006e-13,3.75555e-15,0.974973,0.325841,0.674159,-168.003
-174.874,0.922271,0.274457,3,15,0,176.212,0.865158,0.301061,0.953473,12.0129,1,1,1,0,-9.47872e-08,1.27813e-08,0.86545,0.435228,0.564772,-168.797
-175.426,0.99007,0.274457,3,15,0,175.664,0.948664,0.941476,0.961313,4.50794,0,1,1,0,-4.57692e-11,2.34963e-12,0.94867,0.29046,0.70954,-169.571
-173.425,0.889603,0.274457,3,7,0,177.752,0.675285,0.463939,0.3906,7.56149,0,1,1,0,-8.63372e-05,2.8035e-05,0.683955,0.42134,0.57866,-168.4
-174.031,0.987285,0.274457,2,7,0,174.237,0.751536,0.368934,0.416697,10.1574,1,1,1,0,-1.10835e-05,2.75385e-06,0.754635,0.430845,0.569155,-168.623
-173.766,0.990122,0.274457,2,7,0,174.671,0.814361,0.405458,0.483126,14.8245,1,1,1,1,-1.15596e-06,2.14591e-07,0.815369,0.418095,0.581905,-168.239
-173.845,0.998846,0.274457,1,1,0,173.852,0.820278,0.396392,0.505973,7.35378,0,1,1,0,-8.98e-07,1.6139e-07,0.821168,0.419335,0.580665,-168.27
-173.733,0.988632,0.274457,3,15,0,176.064,0.51821,0.486845,0.474428,14.4569,0,1,1,0,-0.00167915,0.000808997,0.558237,0.432672,0.567328,-168.885
-172.856,0.998451,0.274457,3,7,0,174.175,0.799225,0.604484,0.210824,8.69981,1,1,1,1,-2.12736e-06,4.2712e-07,0.80059,0.381322,0.618678,-167.773
-173.088,0.984574,0.274457,2,7,0,173.438,0.798061,0.520199,0.69457,7.13935,1,1,0,1,-2.22514e-06,4.49342e-07,0.799456,0.397504,0.602496,-167.866
-173.131,0.999429,0.274457,2,3,0,173.154,0.786895,0.507799,0.0560687,12.8789,0,1,1,1,-3.37947e-06,7.20182e-07,0.788612,0.401203,0.598797,-167.925
-172.914,0.929931,0.274457,1,3,0,175.538,0.81915,0.721473,0.700658,1.71014,1,1,1,0,-9.42924e-07,1.70528e-07,0.820061,0.356256,0.643744,-167.92
-173.78,0.977385,0.274457,3,7,0,173.936,0.924579,0.482789,0.108813,4.01941,1,1,0,0,-9.68462e-10,7.30427e-11,0.924609,0.390219,0.609781,-167.648
-173.558,0.996179,0.274457,3,15,0,174.869,0.626916,0.457266,0.198102,5.02952,1,1,1,0,-0.000247662,9.23988e-05,0.641724,0.42719,0.57281,-168.584
-172.961,0.992765,0.274457,2,5,0,174.502,0.672468,0.575296,0.272424,12.1787,0,1,1,1,-9.22083e-05,3.02012e-05,0.681432,0.403243,0.596757,-168.148
-173.028,0.962832,0.274457,2,7,0,175.415,0.815053,0.54257,0.931558,10.2025,1,1,1,1,-1.12279e-06,2.07657e-07,0.816047,0.391083,0.608917,-167.78
