lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,logTau,tau,alpha_prior,tau_prior,alpha_prior_preds03,alpha_prior_preds07,alpha_prior_preds09,alpha_post_preds03,alpha_post_preds07,alpha_post_preds09,tau_prior_preds03,tau_prior_preds07,tau_prior_preds09,tau_post_preds03,tau_post_preds07,tau_post_preds09
# Adaptation terminated
# Step size = 0.157107
# Diagonal elements of inverse mass matrix:
# 3.52485, 1.38287
-3.37203,0.99421,0.157107,2,7,0,4.73504,0.180909,0.798609,2.22245,0.398696,0.161238,1,1,0,1,1,1,0,0,1,1,0,0
-3.11089,0.999973,0.157107,4,15,0,3.54957,0.70812,1.35691,3.88418,0.584212,0.787766,0,1,1,1,1,1,0,1,0,1,0,1
-2.90936,0.999776,0.157107,4,15,0,3.19028,0.375521,0.806803,2.24073,0.939406,0.721415,1,0,1,1,0,1,0,1,1,1,0,1
-2.9199,0.999969,0.157107,3,7,0,2.92168,0.366935,0.804361,2.23527,0.761374,0.265394,1,1,0,0,1,0,0,0,1,0,0,0
-3.09113,0.998601,0.157107,3,7,0,3.15884,0.251995,1.05977,2.88571,0.944279,0.287901,0,1,0,0,1,1,0,0,1,0,1,1
-3.8247,0.983518,0.157107,3,7,0,4.69678,0.456066,2.12963,8.41177,0.223052,0.588401,0,1,1,1,1,1,1,1,0,1,1,1
-2.94519,0.999998,0.157107,4,15,0,4.11799,0.658502,1.18986,3.28661,0.891497,0.432072,1,1,1,0,0,1,1,1,1,1,1,1
-2.91302,0.993638,0.157107,3,15,0,4.00884,0.352256,0.87469,2.39813,0.600908,1.56448,0,1,1,0,1,1,0,0,1,0,0,1
-3.39013,0.989783,0.157107,3,15,0,4.42999,0.238509,0.537434,1.71161,0.380613,1.51436,0,1,1,1,0,1,1,0,1,1,0,0
-3.18099,0.999675,0.157107,3,7,0,3.51039,0.244576,0.742555,2.1013,1.55854,0.140369,1,1,1,0,0,1,0,1,1,0,1,0
-3.61423,0.997633,0.157107,4,15,0,3.88612,0.791637,0.453742,1.57419,-0.158561,0.684414,1,1,0,0,1,0,0,1,0,1,1,1
-3.00228,0.998823,0.157107,4,15,0,4.09573,0.699396,0.849783,2.33914,-0.23598,0.0366915,1,1,0,1,1,0,1,1,1,0,0,1
-3.54005,0.995941,0.157107,4,15,0,3.94295,0.214414,1.63007,5.10422,0.858277,0.648232,1,1,0,0,0,1,0,1,1,1,0,0
