# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:32:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c554685cc18.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061232-1-572e3e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061232-1-70e475.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,tau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.261622
# Diagonal elements of inverse mass matrix:
# 2.16336, 0.214063
-175.455,0.99338,0.261622,3,7,0,175.714,0.9811,0.816002,0.523707,3.90593,0,1,1,1,-1.59711e-14,3.01848e-16,0.981101,0.309901,0.690099,-168.5
-174.237,0.960259,0.261622,4,15,0,177.239,0.548649,0.386378,0.171775,6.28696,0,1,1,1,-0.0010342,0.000466789,0.579658,0.44434,0.55566,-169.156
-174.074,1,0.261622,2,3,0,174.29,0.608452,0.386934,0.827691,1.17525,1,1,0,1,-0.000356564,0.000139612,0.626301,0.439744,0.560256,-168.955
-173.523,0.99019,0.261622,3,15,0,174.917,0.925317,0.560895,0.308761,12.3005,1,1,1,0,-8.95865e-10,6.69058e-11,0.925346,0.373081,0.626919,-167.526
-172.863,0.996809,0.261622,2,7,0,174.137,0.816379,0.622085,0.455038,6.75964,1,1,0,0,-1.06159e-06,1.9493e-07,0.817345,0.375555,0.624445,-167.74
-174.116,0.97387,0.261622,3,7,0,174.409,0.949096,0.759108,0.135126,3.11334,1,1,1,0,-4.27912e-11,2.17822e-12,0.949103,0.327289,0.672711,-168.051
-173.443,0.974388,0.261622,3,15,0,175.46,0.797088,0.449851,0.0135309,11.9269,1,1,0,1,-2.30987e-06,4.68701e-07,0.798509,0.411151,0.588849,-168.084
-173.616,0.983084,0.261622,4,15,0,175.191,0.862218,0.851346,0.571652,10.3245,0,1,0,1,-1.12279e-07,1.547e-08,0.862535,0.324248,0.675752,-168.558
-175.418,0.988288,0.261622,3,7,0,175.732,0.243133,0.578048,0.566137,1.76158,0,1,1,1,-0.042968,0.032521,0.482694,0.436794,0.563206,-170.429
-172.876,0.997808,0.261622,3,7,0,176.578,0.633897,0.692195,0.0320919,7.19548,0,1,1,1,-0.000214699,7.8602e-05,0.647664,0.389798,0.610202,-168.292
-172.78,0.99997,0.261622,3,7,0,172.903,0.760663,0.641429,0.0176245,3.35194,1,0,0,1,-8.3022e-06,1.98703e-06,0.763346,0.379981,0.620019,-167.881
-173.272,0.948354,0.261622,3,7,0,175.961,0.611444,0.871585,0.566604,0.229823,1,1,1,0,-0.000336544,0.000130766,0.628771,0.36639,0.63361,-168.929
-172.865,1,0.261622,3,9,0,173.308,0.795201,0.596122,0.408784,6.89256,0,1,0,1,-2.48204e-06,5.08319e-07,0.796674,0.383454,0.616546,-167.784
-172.978,0.992826,0.261622,3,7,0,173.334,0.85015,0.602561,0.757649,7.82184,1,1,1,0,-2.16875e-07,3.24987e-08,0.85059,0.3746,0.6254,-167.662
-173.513,0.990784,0.261622,3,7,0,173.587,0.924283,0.690399,0.260999,14.2231,1,1,1,0,-9.98979e-10,7.56401e-11,0.924313,0.345666,0.654334,-167.728
-174.059,0.99111,0.261622,2,3,0,174.116,0.953696,0.721091,0.515935,6.53242,1,1,0,0,-2.01558e-11,9.33295e-13,0.9537,0.334544,0.665456,-167.855
-174.021,1,0.261622,3,7,0,174.154,0.956463,0.687583,0.470978,10.5043,0,1,1,1,-1.23483e-11,5.37613e-13,0.956466,0.341268,0.658732,-167.713
-174.123,0.999129,0.261622,4,15,0,174.533,0.952759,0.490939,0.190154,10.0706,0,1,1,1,-2.36377e-11,1.11668e-12,0.952763,0.385149,0.614851,-167.569
-173.591,0.999887,0.261622,3,7,0,174.214,0.906601,0.490099,0.256134,14.2758,0,1,1,1,-5.25409e-09,4.90725e-10,0.906671,0.390703,0.609297,-167.668
-173.075,0.999822,0.261622,3,7,0,173.706,0.87706,0.630927,0.0511688,3.25312,1,1,0,1,-4.58541e-08,5.63729e-09,0.877264,0.365055,0.634945,-167.636
-173.27,0.997591,0.261622,3,11,0,173.457,0.518627,0.756683,0.642245,5.63432,1,1,1,1,-0.00166843,0.000803139,0.558518,0.396192,0.603808,-168.844
-173.602,0.985664,0.261622,3,7,0,174.163,0.674069,0.948515,0.961523,14.7044,1,1,1,0,-8.8831e-05,2.89528e-05,0.682865,0.343525,0.656475,-169.261
-172.919,0.924236,0.261622,1,3,0,175.007,0.638898,0.759226,0.743879,2.29793,0,1,0,1,-0.000193473,6.98635e-05,0.651952,0.378756,0.621244,-168.417
-173.617,0.944351,0.261622,1,3,0,174.987,0.539478,0.911968,0.15582,11.5282,0,1,1,1,-0.00120122,0.000553187,0.57302,0.372506,0.627494,-169.362
-172.987,0.961276,0.261622,1,3,0,174.739,0.604371,0.75669,0.443328,2.32465,0,1,0,1,-0.000385517,0.000152522,0.622951,0.384358,0.615642,-168.518
-173.419,0.979923,0.261622,3,7,0,173.709,0.814503,0.862951,0.408963,13.2381,1,1,0,0,-1.14907e-06,2.13148e-07,0.815508,0.330983,0.669017,-168.614
-173.232,0.999404,0.261622,4,15,0,174.047,0.732188,0.48734,0.291667,14.4792,0,1,1,1,-1.97486e-05,5.28889e-06,0.736322,0.411243,0.588757,-168.143
-173.045,0.999937,0.261622,2,3,0,173.251,0.755517,0.526679,0.140501,3.78653,1,1,1,1,-9.78444e-06,2.39212e-06,0.75843,0.401446,0.598554,-167.971
-173.979,0.972293,0.261622,2,7,0,174.701,0.512126,0.444383,0.338643,2.58909,1,1,0,1,-0.00184254,0.000898926,0.554172,0.438945,0.561055,-169.043
-173.885,0.997401,0.261622,3,11,0,174.248,0.934112,0.764726,0.125344,1.8905,0,1,0,1,-3.31878e-10,2.18668e-11,0.93413,0.328638,0.671362,-168.069
-174.228,0.970435,0.261622,4,15,0,175.003,0.654892,0.356921,0.555184,12.0958,1,1,1,1,-0.000137218,4.73551e-05,0.665855,0.440876,0.559124,-168.979
-176.216,0.982058,0.261622,3,7,0,176.588,0.927116,0.229084,0.685257,11.2284,0,1,0,1,-7.38523e-10,5.38265e-11,0.927142,0.4471,0.5529,-169.325
-175.232,0.990625,0.261622,4,15,0,177.46,0.924223,0.969035,0.95818,5.26961,1,1,1,0,-1.00518e-09,7.61693e-11,0.924254,0.289948,0.710052,-169.767
-176.029,1,0.261622,4,15,0,176.751,0.961895,0.281634,0.338669,10.3082,1,1,0,1,-4.27588e-12,1.62933e-13,0.961897,0.432685,0.567315,-168.728
-174.587,0.99514,0.261622,4,15,0,177.156,0.711278,1.07223,0.137516,5.22124,0,1,1,0,-3.51747e-05,1.01557e-05,0.716797,0.316797,0.683203,-170.292
-174.287,1,0.261622,3,7,0,175.662,0.353928,0.610575,0.994678,14.039,1,1,1,1,-0.0141943,0.00917056,0.481791,0.429105,0.570895,-169.569
